Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,command_text
19.92,6,63.36,25893.96222,0.0,0.0,0.0,0.99,0.99,0.0,0,99,0,0,0,0.0,0.01,0.0,0,0,0,0,0.99,0.0,0.0,0.01,0.0,0,0.99,0.99,6421,60,481,64.21,42.1,64.21,3.86e-05,100,1772.41,DDOS-PSHACK_FLOOD,"while true; do echo ""A"" | nc 10.0.0.2 8080 -w1 -p 12345; done"
0.0,47,64.0,3703.841331,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.01,0,1.0,1.0,57320,98,578,573.2,48.0,573.2,0.000271,100,2304.0,MIRAI-GREIP_FLOOD,"python3 -c 'import socket; s=socket.socket(2,1); s.sendto(b""\x00""*1500, (""10.0.0.9"", 8888))'"
7.92,17,65.91,19673.09568,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.99,0.0,0.0,0.01,0,1.0,1.0,6010,60,70,60.1,1.0,60.1,5.74e-05,100,1.0,DOS-UDP_FLOOD,ncat --udp 10.0.0.7 12345 < /dev/zero
20.4,6,110.5,261.6648263,0.1,0.0,0.3,0.2,0.4,0.0,0,4,0,1,3,0.0,0.5,0.0,0,0,0,0,0.7,0.2,0.0,0.1,0.0,0,0.9,0.9,2223,54,1500,222.3,451.5966858,222.3,0.004765987396,10,203939.5667,DNS_SPOOFING,sssh -l root 192.168.1.6 -p 22
0.32,1,63.96,28944.19985,0.0,0.0,0.0,0.0,0.01,0.0,0,1,0,0,0,0.0,0.01,0.0,0,0,0,0,0.01,0.0,0.0,0.0,0.99,0,1.0,1.0,6006,60,66,60.06,0.6,60.06,3.46e-05,100,0.36,DDOS-ICMP_FLOOD,sudo ping -s 65507 -f -c 10000 10.0.0.3
20.0,6,64.0,47281.07316,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.12e-05,100,0.0,DDOS-TCP_FLOOD,iperf3 -c 172.16.0.4 -P 10 --port 5001 -t 300 -u -b 100M
20.0,6,64.0,99698.21726,0.0,0.0,0.0,1.0,1.0,0.0,0,100,0,0,0,1.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1e-05,100,0.0,DDOS-PSHACK_FLOOD,"while true; do echo ""A"" | nc 10.0.0.2 8080 -w1 -p 12345; done"
20.84,6,64.0,28555.99129,0.0,1.0,0.0,0.0,0.21,0.0,0,21,100,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,15006,60,174,150.06,46.6670606,150.06,3.55e-05,100,2177.814545,DDOS-SYN_FLOOD,hping3 -S -p 80 --fast -i u100 --flood 192.168.1.1
8.0,17,64.0,43518.40631,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.3e-05,100,0.0,DDOS-UDP_FLOOD,python3 flood.py -t 10.0.0.2 -p 53 --rate 10000
52.0,6,64.0,322638.7692,0.0,0.0,0.0,0.0,1.0,0.0,0,10,0,0,0,0.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,860,86,86,86.0,0.0,86.0,3.22e-06,10,0.0,MITM-ARPSPOOFING,"arpspoof -i eth0 -t 192.168.1.1 192.168.1.2; sleep 2; echo ""check logs"""
